number,name
dab,900000245024
dabendorf,900000245024
berlinhbf,900000003200
ostkreuz,900000120003
südkreuz,900000058101
suedkreuz,900000058101
westkreuz,900000024102
nordkreuz,900000007102
gesundbrunnen,900000007102
alex,900000100003
ostbahnhof,900000120005
ostbhf,900000120005
friedrich,900000100001
friedrichstrasse,900000100001
zoo,900000023172
ber,900000260009
blankenfelde,900000245027
rangsdorf,900000245025
zossen,900000245023
wuewa,900000245022
wüwa,900000245022
adlershof,900000193002
ahof,900000193002
briesen,900000310006
angermünde,900000340004
eberswalde,900000350127
frankfurt,900000360000
ffo,900000360000
brb,900000275110
brandenburg,900000275110
cottbus,900000470000
rathenow,900000210771
elsterwerda,900000415502
spandau,900000029101
jwd,900000029101
kw,900000260001
nauen,900000210005
potsdam,900000230999
moeckernbruecke,900000017104
